Topic,Size,Top_Words,Representative_Text
21,150,"anak, anakku, anakmu, dilahirkan, kitabullah","kepadaku berkata, ""ayahnya memberikan kepadanya seorang budak, rasulullah shallallahu 'alaihi wasallam bertanya kepadanya: ""siapakah budak ini?"" menjawab, ""budakku. ayahkulah memberikannya kepadaku."" ..."
22,150,"mimpi, bermimpi, bersabda mimpi, kenabian, mimpi baik","berkata, nabi shallallahu 'alaihi wasallam, bersabda: ""jika semakin dekat, mimpi seorang mukmin dipastikan tidak bohong. orang paling benar mimpinya orang paling benar ucapannya. mimpi ada tiga; mimpi..."
23,148,"neraka, surga, ke neraka, neraka berkata, berfirman","berkata, berkata, nabi shallallahu 'alaihi wasallam, bersabda: ""akan dikeluarkan neraka siapa mengatakan tidak ada ilah kecuali allah hatinya ada kebaikan sebesar jemawut. dikeluarkan neraka siapa men..."
24,144,"haji, umrah, bertalbiyah, diriwayatkan, bertalbiyah melakukan",", , , , berkata; menyewakan sesuatu perjalanan berhaji, orang-orang mengatakan; tidak mendapatkan pahala haji, menemui katakan; wahai abdurrahman, orang menyewakan sesuatu perjalanan berhaji, orang-or..."
25,140,"hutang, hutangnya, membayarnya, memiliki hutang, berhutang",", , , , berkata; rasulullah shallallahu 'alaihi wasallam berkhutbah kami, berkata: ""apakah di sini terdapat seseorang bani fulan?"" terdapat seorang laki-laki berdiri berkata; wahai rasulullah. shallal..."
26,140,"minyak, wangi, minyak wangi, rasanya, an seperti",", diriwayatkan jalur lain: , , berkata; memberi rasulullah shallallahu wa'alaihi wa sallam minyak wangi ihramnya sebelum melakukan ihram, keadaan tidak berihram sebelum melakukan thawaf di ka'bah...."
27,134,"qur an, qur, al qur, an, al","berkata, berkata, mengabarkan -maksudnya al-'ala` al hadhrami- bahwasanya pernah menulis surat nabi shallallahu 'alaihi wasallam, memulai namanya sendiri.""..."
28,133,"sejak hari, hari pertama, pertama meninggal, ilmu, permasalahan","mengabarkan berkata: ""pernah ditanya suatu hal ceritakan, menjawab: ' tidak perlu bermusyawarah, kuanggap tidak masalah""...."
29,127,"suaminya, pahala, wanita, suami, seorang wanita","rhadhiyallahu 'anhu seorang wanita bersedekah harta suaminya. berkata: tidak boleh, kecuali sebagian bahan pokoknya pahalanya dibagi anara keduanya, tidak halal seorang istri bersedekah harta suaminya..."
30,127,"isa, isa berkata, berkata hadits, bab, meriwayatkan","berkata; 'ubaidullah ditanya al muhashshab"". berkata: ""rasulullah shallallahu 'alaihi wasallam pernah berhenti singgah disana, begitu 'umar ibnu 'umar"". nafi' pernah disana, yaitu di al muhashshab, sh..."
31,125,"wanita, seorang wanita, laki, laki laki, kaum wanita","bahwasanya mereka, berkata; nabi shallallahu 'alaihi wasallam, bersabda: ""shalat seorang wanita di rumahnya lebih utama baginya daripada shalatnya di kamarnya, shalat seorang wanita di rumahnya kecil ..."
32,125,"bika, uudzu bika, uudzu, min, berlindung","kepadaku kepadaku berkata; bertanya aisyah; ""dengan apakah nabi allah shallallahu 'alaihi wasallam berdo'a sebagai pembukaan shalat malam?"" menjawab; ""sebagai pembukaan shalat malamnya, memulai do'a; ..."
33,121,"setan, setan berkata, menguap, dikumandangkan, sesungguhnya setan","berkata, berkata, ""rasulullah shallallahu 'alaihi wasallam bersabda: ""jika salah seorang kalian menguap hendaklah pegang mulutnya, setan bisa masuk."" seperti hadits tersebut. bersabda: ""dalam shalat, ..."
34,121,"darah, haid, darah penyakit, haidl, penyakit","berdua berkata; bahwasanya fathimah binti abi hubaisy datang rasulullah shallallahu 'alaihi wasallam, bertanya; sesungguhnya terkena darah penyakit, tidak suci, apakah boleh meninggalkan shalat? bersa..."
35,116,"hujan, awan, meminta hujan, hujan kami, turun","mengabarkan rasulullah shallallahu 'alaihi wasallam keluar bersama orang-orang memohon hujan, shalat dua raka'at mengeraskan bacaan raka'at tersebut, membalik kain selendangnya sambil berdo'a memohon ..."
36,112,"tanah, lahan, menyewakan, tetangga, menanaminya",", , , berkata; rasulullah shallallahu 'alaihi wasallam bersabda: ""barangsiapa menanam di tanah suatu kaum tanpa seizin mereka, tidak memiliki hak tanamannya sedikitpun, baginya pembiayaannya.""..."
37,111,"ekor, kambing, ekor kambing, domba, satu ekor","nabi shallallahu 'alaihi wasallam sujud, merenggangkan antara kedua tangannya seandainya ada seekor anak kambing hendak lewat di kedua tangan beliau, tentu melewatinya.""..."
38,109,"tujuh puluh, tujuh, menjadi tujuh, puluh, terpecah","berkata, berkata, ""kami pernah bersama rasulullah shallallahu 'alaihi wasallam singgah suatu tempat, bersabda: ""kalian tidak satu bagian seratus ribu bagian orang datang minum di telagaku."" perawi ber..."
39,108,"obat, sakit, penyakit, kesembuhan, syifaa",", nabi shallallahu 'alaihi wasallam, berkata: ""barangsiapa mengunjungi orang sakit belum datang ajalnya mengucapkan (doa) di sebelahnya sebanyak tujuh kali: as alullaahal 'azhiim rabbal 'arsyil 'azhii..."
40,103,"cincin, cincinnya, memakai cincin, membuat cincin, mata cincinnya","keduanya berkata; berkata, mengabarkan kepadaku berkata; kepadaku berkata, ""cincin nabi shallallahu 'alaihi wasallam terbuat perak, sedangkan mata cincinnya habasyah.""..."
41,101,"dosa, dosa besar, dosa dosa, besar, allah durhaka","mengabarkan nabi shallallahu 'alaihi wasallam, bersabda: ""barang siapa bercelak hendaklah melakukannya ganjil, barangsiapa melakukannya berbuat baik, barangsiapa tidak melakukannya tidak ada dosa bagi..."
42,101,"beli, menjual, jual, jual beli, pasar","berkata, ""aku pernah membeli minyak di pasar, minyak tersebut menjadi hak milikku, ada seorang laki-laki datang kepadaku memberiku keuntungan baik. ingin membuat kesepatakan orang tersebut, seorang la..."
43,99,"wa, laa, asyhadu, anta, wal",", berkata; , berkata; mendengar di mimbar berkata; nabi shallallahu 'alaihi wasallam selesai shalat mengucapkan: ""laa ilaaha illallaahu wahdahu laa syariikalahu, lahul mulku wa lahul hamdu wa huwa 'al..."
44,97,"mandi, jum, jum at, satu bejana, barangsiapa mandi","berkata; rasulullah shallallahu 'alaihi wasallam bersabda: ""barangsiapa berwudlu hari juma't, alangkah baiknya, barangsiapa mandi, lebih utama.""..."
45,92,"hari, hari jum, jum at, jum, berpuasa hari",", , , , , berkata; tatkala nabi shallallahu 'alaihi wasallam datang ke madinah, mendapati orang-orang yahudi berpuasa hari 'asyura, ditanya hal tersebut. berkata; hari dimana allah memenangkan musa fi..."
46,88,"yahudi, orang yahudi, yahudi berkata, musa, yahudi tersebut","kepadaku berkata, ""ayat: '(jika (orang yahudi) datang kepadamu (untuk meminta putusan), putuskanlah (perkara itu) diantara mereka, berpalinglah mereka) ' (qs. al maidah: 42), dihapus diganti ayat: '(m..."
47,87,"buta, pandangan, matanya, mata, buta sebelah","bahwasanya ibnu ummi maktum seorang muadzdzin rasulullah shallallahu alaihi wasallam, padahal seorang buta...."
48,86,"ada tiga, bersabda tiga, pedih, tiga, tiga golongan","berkata, ""rasulullah shallallahu 'alaihi wasallam bersabda: ""tiga golongan tidak allah ajak bicara hari kiamat; seorang laki-laki menghalangi ibnu sabil mendapatkan kelebihan air ada padanya, seorang ..."
49,86,"emas, perak, emas emas, riba, gandum","(ahmad hanbal) berkata; berkata; berkata; orang-orang membeli emas mata uang secara kredit syarat ada penambahan, hari datang mereka, melarang transaksi semacam berkata; rasulullah shallallahu'alaihiw..."
50,85,"jenazah, diletakkan, melihat jenazah, jenazah diletakkan, jenazah tersebut",", , , nabi shallallahu 'alaihi wasallam: ""apabila kalian melihat jenazah, berdirilah kalian (menghormati) jenazah melewati kalian diletakkan.""..."
51,84,"membangkang, dianggap tidak, mendengar taat, berpuasa, taat",", , , berkata; dahulu membai'at nabi shallallahu 'alaihi wasallam mendengar mentaati, membisikkan: ""semampumu!""..."
52,84,"daging, daging keledai, keledai, wasallam melarang, melarang",pernah mendengar berkata; rasulullah shallallahu 'alaihi wasallam melarang beristinja kotoran binatang....
53,81,"sha, satu sha, gandum, sha gandum, sha kurma",", di ganti jalur periwayatan lain, nabi shallallahu wa'alaihi wa sallam mewajibkan zakat fitrah, satu sha' kurma, satu sha' gandum setiap orang dewasa maupun anak kecil, merdeka, budak musa menambahka..."
54,77,"bersumpah, bapak, kalian bersumpah, bersumpah nama, bapak kalian",", , berkata; rasulullah shallallahu 'alaihi wasallam bersabda: ""janganlah kalian bersumpah nama bapak-bapak kalian, jangan pula nama ibu-ibu kalian, serta sekutu-sekutu! janganlah kalian bersumpah kec..."
55,76,"ular, membunuh ular, seekor ular, membunuh, bunuhlah","berkata, berkata; bahwasanya pernah berkata rasulullah shallallahu 'alaihi wasallam, ""sesungguhnya ingin membersihkan air zamzam, di dalamnya banyak terdapat ular kecil."" nabi shallallahu 'alaihi wasa..."
56,76,"anjing, buruan, anjingmu, makanlah, anjing lain",", , berkata; bertanya nabi shallallahu 'alaihi wasallam, katakan; sesungguhnya berburu anjing- anjing ini. berkata kepadaku: ""apabila melepas anjingmu terlatih sebut nama allah, makanlah apa tangkap u..."
57,75,"mukmin, semut, seorang mukmin, belalang, disebut mukmin","nabi shalla allahu 'alaihi wa sallam, bersabda: belalang termasuk binatang buruan laut...."
58,71,"panas, menyengat, dingin, panas menyengat, jahannam","berdua berkata; berkata; pernah shalat zhuhur bersama rasulullah shallallahu 'alaihi wasallam, tatkala mengambil segenggam kerikil agar menjadi dingin telapak tanganku letakkan di keningku sujud padan..."
59,71,"jihad, paling utama, utama, utama menjawab, apakah paling",", , berkata; berkata; nabi shallallahu 'alaihi wasallam ditanya; amalan apakah lebih utama? bersabda; lama berdiri. ditanya; sedekah apakah paling utama? berkata; pemberian orang miskin, ditanya; hijr..."
60,71,"membaca, tidak membaca, fatihah, al fatihah, sah shalat","keduanya berkata; nabi shallallahu 'alaihi wasallam (sabdanya): ""tidak sah shalat siapa tidak membaca fatihatul kitab (surat al fatihah) selebihnya."" sufyan berkata; ""bagi siapa shalat sendirian.""..."
61,69,"sepatu, memakai, sandal, celana, mata kaki","berkata, nabi shallallahu 'alaihi wasallam, nabi shallallahu 'alaihi wasallam, ada seorang laki-laki bertanya, ""apa harus dikenakan orang melakukan ihram?"" menjawab: ""ia tidak boleh memakai baju, imam..."
62,67,"kebaikan, satu kebaikan, kunci, kebaikan selama, kejahatan","berkata; . , berkata; berkata; rasulullah shallallahu'alaihiwasallam bersabda: ""jika allah azzawajalla menghendaki seorang hamba kebaikan, niscaya allah pahamkan urusan agamanya.""..."
63,65,"halal, haram, tidak halal, jelas, perkara",", berkata; , , berkata; mendengar , tidak mendengar seorangpun setelahnya. berkata; mendengar rasulullah shallallahu 'alaihi wasallam bersabda: ""sesungguhnya perkara halal jelas, serta haram jelas dia..."
64,64,"nama, namaku, julukan, qasim, al qasim","berkata; mengabarkan banyak disebut namanya kecuali ibnu katsir, firman allah azza wa jalla: '(dan dihalangi antara apa ingini….) ' -qs. saba: 54- berkata, ""yaitu antara keimanan.""..."
65,64,"kerikil, jibril, melempar, langit, jumrah","berkata; ""kami bersama abdullah busr -salah seorang sahabat nabi shallallahu 'alaihi wasallam- hari jum'ah, tiba-tiba seorang laki-laki datang melangkahi pundak orang-orang, berkata; ""pernah datang se..."
66,61,"pohon, pohon kurma, kurma, pohon pohon, daunnya","kepadaku rasulullah shallallahu 'alaihi wasallam bersabda: ""khamer terbuat kedua pohon ini; pohon kurma anggur."" daud berkata, ""nama katsir al ghubarah yazid abdurrahman ghufailah as sahmi. lain menga..."
67,60,"berkabung, wanita beriman, hari kecuali, halal seorang, bulan sepuluh",", berkata; rasulullah shallallahu wa'alaihi wa sallam bersabda: ""tidak halal seorang wanita beriman allah hari akhir bersafar lebih tiga hari, keculai bersama ayahnya saudaranya suaminya anaknya orang..."
68,59,"mengampuni, dosa, diampuni, diampuni dosa, allah mengampuni",", , , nabi shallallahu 'alaihi wasallam, bersabda: ""sesungguhnya allah mengampuni umatku apa belum ucapkan belum lakukan, serta sesuatu terbetik pikirannya.""..."
69,59,"tangan pencuri, pencuri, seperempat dinar, dipotong, seperempat","berkata, berkata, ""rasulullah shallallahu 'alaihi wasallam memotong (tangan pencuri) senilai baju perang harganya tiga dirham.""..."
70,57,"beli, jual, jual beli, hak memilih, berpisah","rasulullah shallallahu 'alaihi wasallam bersabda: ""dua orang saling berjual beli, keduanya memiliki hak memilih sahabatnya selama belum berpisah. kecuali jual beli syarat memiliki hak memilih."" , nabi..."
71,57,"tahun, puluh, empat puluh, enam puluh, tiga tahun","berkata, berkata, ""sungguh ma'mar menyerap ilmu sangat bermanfaat."" abdullah berkata, ""ma'mar meninggal usia lima puluh delapan tahun.""..."
72,56,"surga, masuk surga, tidak masuk, hatinya terdapat, masuk","berkata; mendapati kitabnya tulisannya sendiri, belum pernah mendengar darinya, mengatakan, nabi shallallahu 'alaihi wasallam bersabda: ""hadirilah peringatan (khutbah) mendekatlah imam, seseorang sela..."
73,56,"umra, pewaris, warisan, orang setelahnya, pemberian",", , kepadaku , , firman allah ta'ala: ""dan (jika ada) orang-orang bersumpah setia mereka, berilah bagiannya."" berkata; dahulu orang-orang muhajirin datang ke madinah, orang-orang anshar diwarisi selai..."
74,55,"mencintai, cintailah, mencintainya, allah mencintai, cintai","abdullah berkata; berkata; mengabarkan sesungguhnya nabi shallallahu'alaihiwasallam bersabda kakeknya, yazid asad, ""cintalah manusia sebagaimana mencintai dirimu.""..."
75,55,"wanita, para wanita, mengqadha, mengqadla, anting","keduanya berkata; mengabarkan mengabarkan kepadaku berkata; -saya mendengar (jabir) berkata- sesungguhnya nabi shallallahu 'alaihi wasallam berdiri hari raya fithri, mengerjakan shalat, memulai shalat..."
76,54,"tenang, shalat, masjid, belum shalat, ninah","mendengarnya berkata; ""mu'adz biasa shalat bersama nabi shallallahu 'alaihi wasallam, kembali menjadi imam (shalat) kami' -di lain kali jabir mengatakan; kembali menjadi imam (shalat) kaumnya-, suatu ..."
77,54,"siksa, berlindung, berlindung kepada, siksa kubur, kubur","kepadaku kepadaku mendengar berkata; rasulullah shallallahu 'alaihi wasallam bersabda: ""apabila kalian selesai tasyahud akhir, hendaklah memohon perlindungan allah empat perkara, yaitu; siksa neraka j..."
78,53,"kuda, kudanya, pacuan, pahala, kebaikan",", , berkata; rasulullah shallallahu 'alaihi wasallam bersabda: ""tidak ada perlombaan kecuali hewan bertapak kaki, berkuku serta memanah.""..."
79,52,"cincin emas, memakai, memakai cincin, melarangku, cincin","berkata; mendengar berkata, ""rasulullah shallallahu 'alaihi wasallam melarangku, tidak mengatakan melarang kalian memakai pakaian dicelup (diberi warna).""..."
80,52,"salam, memberi salam, salamnya, mengucapkan salam, salam kami","bahwasanya pernah menemui nabi shallallahu 'alaihi wasallam buang air kecil, mengucapkan salam nabi, tidak menjawab salamnya berwudhu, meminta maaf seraya bersabda: ""sesungguhnya tidak suka menyebut n..."
81,52,"hewan kurban, kurban, hewan, kalung, kalung hewan",", serta radliallahu 'anha berkata; rasulullah shallallahu wa'alaihi wa sallam berkurban madinah, menjalin kalung-kalung hewan kurbannya, tidak menjauhi sesuatupun diantara perkara-perkara dijauhi oran..."
82,51,"kada, memasuki, makkah, tempat, baitul maqdis",", , , , atua pamannya, berkata; melihat rasulullah shallallahu wa'alaihi wa sallam berada di mimbar di 'arafah...."
83,51,"tumit, tumit tumit, api, air, demam",", , , , , berkata; rasulullah shallallahu 'alaihi wasallam bersabda: ""tidak ada mengarungi laut kecuali orang berhaji berumrah, orang berperang di jalan allah. sesungguhnya di laut terdapat api di api..."
84,51,"melempar, melempar jumrah, jumrah, kerikil, uban inai","bahwasanya rasulullah shallallahu 'alaihi wasallam bersabda: ""takutlah kalian perihal dua orang terlaknat."" (para sahabat) bertanya; ""siapakah dua orang terlaknat wahai rasulullah?"" menjawab: ""yaitu o..."
85,50,"hasil, hasil penjualan, penjualan, penjualan anjing, anjing",", , , nabi shallallahu 'alaihi wasallam melarang uang hasil penjualan anjing, upah pezina, upah dukun...."
86,50,"pedang, kami bukan, perang, golongan kami, pedang rasulullah",", , , , berkata; gagang pedang rasulullah shallallahu 'alaihi wasallam perak...."
87,48,"wanita, seorang wanita, cincin besi, allah wahai, cincin","berkata; rasulullah shallallahu 'alaihi wasallam bersabda: ""sekiranya menyisakan pintu (seraya menunjuk salah satu pintu masjid) para wanita (adalah lebih baik)."" berkata; tidak pernah masuk pintu ter..."
88,48,"surga, bintang, purnama, taman, pertama masuk","bercerita mengabarkan mengabarkan berkata; rasulullah shallallahu 'alaihi wasallam bersabda: ""rombongan pertama masuk surga rupa seperti bentuk bulan purnama, tidak pernah beringus, tidak meludah tida..."
89,48,"mandi, menggilir, isterinya, mandi mengabarkan, wasallam menggilir","bahwasanya nabi shallallahu 'alaihi wasallam bersabda: ""apabila suami duduk di antara keempat anggola tubuhnya (kedua tangan kedua kaki istrinya), menempelkan khitan (kemaluan suami) kemaluan istrinya..."
90,47,"beristinja, batu, kotoran, buang, buang air","berdua berkata; bahwasanya rasulullah shallallahu 'alaihi wasallam bersabda: ""apabila salah seorang di antara kalian pergi buang air besar, hendaklah membawa tiga batu beristinja, sesungguhnya mencuku..."
91,47,"burung, gagak, tikus, kalajengking, burung gagak",", nabi shallallahu 'alaihi wasallam ditanya apa saja boleh dibunuh orang berihram binatang melata? berkata: ""lima binatang tidak ada dosa orang membunuhnya di luar tanah haram di tanah haram, yaitu; k..."
92,47,"masak, kurma, kurma masak, kurma muda, anggur","kepadaku melarang pencampuran anggur kurma, pencampuran zahw (kurma mentah) kurma segar."" bersabda: ""peraslah masing-masing secara tersendiri!"" kepadaku nabi shallallahu 'alaihi wasallam hadits ini.""..."
93,47,"puasa, puasanya, ada puasa, berpuasa, asyura",", , , serta , isteri nabi shallallahu 'alaihi wasallam rasulullah shallallahu 'alaihi wasallam berkata: ""barangsiapa belum berniat berpuasa sebelum fajar, tidak ada (tidak sah) puasa baginya."" daud be..."
94,46,"mencuri, pencuri, seorang pencuri, memotong tangannya, potonglah","berkata, -mantan budak (yang dimerdekakan oleh) dzar- berkata, ""pernah dihadapkan rasulullah shallallahu 'alaihi wasallam seorang pencuri mengakui kesalahannya, barang dicurinya tidak lagi bersamanya...."
95,45,"daging kurban, melarang kalian, tiga hari, kurban, daging",", , , , berkata; rasulullah shallallahu 'alaihi wasallam bersabda: ""sesungguhnya dahulu melarang kalian memakan daging kurban di tiga hari agar mencukupi kalian. allah memberikan keluasan, simpanlah s..."
96,44,"pakaian, munabadzah, mulamasah, melarang, wasallam melarang","keduanya berkata, ""rasulullah shallallahu 'alaihi wasallam melarang penggunakan za'faran laki-laki.""..."
97,43,"hadiah, abwa, di abwa, memberi hadiah, pemberian","(ahmad hanbal radliyallahu'anhu) berkata; membaca di hadapan : menghadiahkan daging keledai rasulullah shallallahu'alaihiwasallam berada di abwa`, di wadan,. rasulullah shallallahu'alaihiwasallam meno..."
98,43,"ibuku meninggal, meninggal, nadzar, ibuku, ibunya meninggal",", , , , seorang wanita berkata; wahai rasulullah, sesungguhnya ibuku meninggal tiba-tiba, tidak terjadi hal tersebut niscaya bersedekah memberi. apakah sah bersedekah untuknya? nabi shallallahu 'alaih..."
99,43,"budak, seorang budak, mantan, menampar, mantan budak",", , , berkata; kepadaku mantan budak al lahm, berkata; pernah menghadiri perang khaibar bersama para majikanku. berbica rasulullah shallallahu 'alaihi wasallam diriku, memerintahkanku agar diberi peda..."
100,43,"budak, budak wanita, seorang budak, budak tersebut, istrinya",", istri rasulullah shallallahu 'alaihi wasallam, berkata; pernah mempunyai budak wanita bebaskan. nabi shalla allahu 'alaihi wa sallam masuk menemuiku memberitahukan hal tersebut kepadanya, berkata: ""..."
101,42,"menciummu, mencium, wasallam menciummu, tidak menciummu, hajar",", mengabarkan datang ke hajar aswad, menciumnya berkata; sungguh mengetahui hanya sekedar batu tidak bermanfaat, tidak membawa madharat, seandainya tidak melihat rasulullah shallallahu wa'alaihi wa sa..."
102,41,"hathib, wanita, surat, membawa surat, surat tersebut",". semuanya berasal , menyebutkan berkata, ""beberapa wanita syam menemui radliallahu 'anhuma, aisyah bertanya, ""dari manakah kalian?"" menjawab, ""dari penduduk syam."" aisyah berkata, ""kemungkinan kalian..."
103,41,"bawang, bawang putih, bawang merah, putih, barangsiapa makan","mengabarkan kepadaku kepadaku berkata, ""sesungguhnya rasulullah shallallahu 'alaihi wasallam bersabda: ""barangsiapa makan bawang putih bawang merah, hendaknya menjauhi masjid duduk di rumahnya."" perna..."
104,41,"menjual buah, buah, melarang menjual, menjual, buah buahan",", rasulullah shallallahu 'alaihi wasallam melarang menjual buah nampak kelayakannya, melarang penjual pembeli...."
105,40,"hamil, melahirkan, wanita, melahirkan anak, menggilir",", , , berkata; terdapat seorang laki-laki anshar datang rasulullah shallallahu 'alaihi wasallam berkata; sesungguhnya memiliki seorang budak wanita, bercampur dengannya sementara tidak ingin hamil. be..."
106,39,"nadzar, nadzar tidak, ada nadzar, kafarahnya, boleh ada",", , kepadaku , , , rasulullah shallallahu 'alaihi wasallam bersabda: ""tidak boleh ada nadzar kecuali sesuatu diharapkan padanya wajah allah, tidak boleh ada sumpah memutuskan hubungan kekerabatan.""..."
107,38,"bidara, daun bidara, mandikanlah, kafanilah, mandikanlah air","berkata; ""ada seorang laki-laki wukuf di 'arafah terjatuh hewan tunggangannya terinjak"" ibnu 'abbas radliallahu 'anhuma berkata: ""hingga orang mati seketika"". nabi shallallahu 'alaihi wasallam berkata..."
108,38,"malu, ilmu, menghalalkan kemaluan, syarat, malu bagian",", mengabarkan kepadaku rasulullah shallallahu 'alaihi wasallam bersabda: ""sesungguhnya syarat paling berhak dipenuhi (syarat) kalian gunakan menghalalkan farji.""..."
109,37,"membeli makanan, menjualnya, makanan, janganlah menjualnya, makanan janganlah","rasulullah shallallahu 'alaihi wasallam bersabda: ""barangsiapa membeli makanan, janganlah menjualnya menerimanya.""..."
110,37,"gharib, hasan gharib, gharib berkata, isa berkata, hadits hadits","selainnya berkata; berkata; mendengar nabi shallallahu 'alaihi wasallam, bersabda: ""semoga allah merahmati orang shalat empat rakaat sebelum ashar."" isa berkata; ""hadits derajatnya hasan gharib.""..."
111,37,"orang mulia, putra orang, mulia, putra, yafits","mengabarkan kepadaku bercerita nabi shallallahu 'alaihi wasallam bersabda: ""orang mulia putra orang mulia putra orang mulia putra orang mulia yusuf ya'qub ishaq ibrahim asm""...."
112,37,"jibril, unta, urainah, tangan kaki, ukl","kepadaku bercerita mereka, serombongan suku 'ukail 'urainah mengunjungi madinah bertemu nabi shallallahu 'alaihi wasallam menyatakan keislamannya. berkata; ""wahai nabiyullah, sesungguhnya orang-orang ..."
113,36,"kurang lima, ada zakat, kurang, lima wasaq, lima",", berkata; membacakan riwayat , berkata; mendengar berkata; rasulullah shallallahu wa'alaihi wa sallam bersabda: ""tidak ada zakat unta kurang lima dzaud (dzaud antara tiga sepuluh), tidak ada zakat pe..."
114,36,"dunia seisinya, seisinya, daripada dunia, lebih baik, baik daripada","berkata; rasulullah shallallahu'alaihiwasallam bersabda: ""berperang satu pagi satu sore hari di jalan allah azzawajalla lebih baik daripada dunia segala isinya""...."
